"","N_Accesion","gi","Title","Serotype","Genotype","Gene","Size_sequence","Country","Location","Year","Month","lat_country","lon_country","locationtype_country","formatted_country","lat_location","lon_location","locationtype_location","formatted_location","Comments"
"28","KU216389",1027932077,"Dengue_virus_1_isolate_AP_12271_2015_polyprotein_gene_partial_cds","DENV_1",NA,"C_M",390,"India","Pasighat",2015,NA,20.593684,78.96288,"APPROXIMATE","India",28.061899,95.3259358,"APPROXIMATE","Pasighat 791102","India_blood_2015"
"29","KU216388",1027932075,"Dengue_virus_1_isolate_AP_12270_2015_polyprotein_gene_partial_cds","DENV_1",NA,"C_M",393,"India","Pasighat",2015,NA,20.593684,78.96288,"APPROXIMATE","India",28.061899,95.3259358,"APPROXIMATE","Pasighat 791102","India_blood_2015"
"30","KU216387",1027932073,"Dengue_virus_1_isolate_AP_12269_2015_polyprotein_gene_partial_cds","DENV_1",NA,"C_M",393,"India","Pasighat",2015,NA,20.593684,78.96288,"APPROXIMATE","India",28.061899,95.3259358,"APPROXIMATE","Pasighat 791102","India_blood_2015"
"31","KU216386",1027932071,"Dengue_virus_1_isolate_AP_12268_2015_polyprotein_gene_partial_cds","DENV_1",NA,"C_M",393,"India","Pasighat",2015,NA,20.593684,78.96288,"APPROXIMATE","India",28.061899,95.3259358,"APPROXIMATE","Pasighat 791102","India_blood_2015"
"32","KU216385",1027932069,"Dengue_virus_1_isolate_AP_12266_2015_polyprotein_gene_partial_cds","DENV_1",NA,"C_M",393,"India","Pasighat",2015,NA,20.593684,78.96288,"APPROXIMATE","India",28.061899,95.3259358,"APPROXIMATE","Pasighat 791102","India_blood_2015"
"33","KU216384",1027932067,"Dengue_virus_1_isolate_AP_12265_2015_polyprotein_gene_partial_cds","DENV_1",NA,"C_M",393,"India","Pasighat",2015,NA,20.593684,78.96288,"APPROXIMATE","India",28.061899,95.3259358,"APPROXIMATE","Pasighat 791102","India_blood_2015"
"34","KU216383",1027932065,"Dengue_virus_1_isolate_AP_12264_2015_polyprotein_gene_partial_cds","DENV_1",NA,"C_M",393,"India","Pasighat",2015,NA,20.593684,78.96288,"APPROXIMATE","India",28.061899,95.3259358,"APPROXIMATE","Pasighat 791102","India_blood_2015"
"35","KU216382",1027932063,"Dengue_virus_1_isolate_AP_12263_2015_polyprotein_gene_partial_cds","DENV_1",NA,"C_M",393,"India","Pasighat",2015,NA,20.593684,78.96288,"APPROXIMATE","India",28.061899,95.3259358,"APPROXIMATE","Pasighat 791102","India_blood_2015"
"36","KU216381",1027932061,"Dengue_virus_1_isolate_AP_12261_2015_polyprotein_gene_partial_cds","DENV_1",NA,"C_M",392,"India","Pasighat",2015,NA,20.593684,78.96288,"APPROXIMATE","India",28.061899,95.3259358,"APPROXIMATE","Pasighat 791102","India_blood_2015"
"37","KU216380",1027932059,"Dengue_virus_1_isolate_AP_12258_2015_polyprotein_gene_partial_cds","DENV_1",NA,"C_M",392,"India","Pasighat",2015,NA,20.593684,78.96288,"APPROXIMATE","India",28.061899,95.3259358,"APPROXIMATE","Pasighat 791102","India_blood_2015"
"38","KU216379",1027932057,"Dengue_virus_1_isolate_AP_12257_2015_polyprotein_gene_partial_cds","DENV_1",NA,"C_M",393,"India","Pasighat",2015,NA,20.593684,78.96288,"APPROXIMATE","India",28.061899,95.3259358,"APPROXIMATE","Pasighat 791102","India_blood_2015"
"39","KU216378",1027932055,"Dengue_virus_1_isolate_AP_12254_2015_polyprotein_gene_partial_cds","DENV_1",NA,"C_M",391,"India","Pasighat",2015,NA,20.593684,78.96288,"APPROXIMATE","India",28.061899,95.3259358,"APPROXIMATE","Pasighat 791102","India_blood_2015"
"40","KU216377",1027932053,"Dengue_virus_1_isolate_AP_12253_2015_polyprotein_gene_partial_cds","DENV_1",NA,"C_M",393,"India","Pasighat",2015,NA,20.593684,78.96288,"APPROXIMATE","India",28.061899,95.3259358,"APPROXIMATE","Pasighat 791102","India_blood_2015"
"41","KU216376",1027932051,"Dengue_virus_1_isolate_AP_12251_2015_polyprotein_gene_partial_cds","DENV_1",NA,"C_M",331,"India","Pasighat",2015,NA,20.593684,78.96288,"APPROXIMATE","India",28.061899,95.3259358,"APPROXIMATE","Pasighat 791102","India_blood_2015"
"42","KU216375",1027932049,"Dengue_virus_1_isolate_AP_12250_2015_polyprotein_gene_partial_cds","DENV_1",NA,"C_M",393,"India","Pasighat",2015,NA,20.593684,78.96288,"APPROXIMATE","India",28.061899,95.3259358,"APPROXIMATE","Pasighat 791102","India_blood_2015"
"43","KU216374",1027932047,"Dengue_virus_1_isolate_AP_12244_2015_polyprotein_gene_partial_cds","DENV_1",NA,"C_M",393,"India","Pasighat",2015,NA,20.593684,78.96288,"APPROXIMATE","India",28.061899,95.3259358,"APPROXIMATE","Pasighat 791102","India_blood_2015"
"44","KU216373",1027932045,"Dengue_virus_1_isolate_AP_12243_2015_polyprotein_gene_partial_cds","DENV_1",NA,"C_M",393,"India","Pasighat",2015,NA,20.593684,78.96288,"APPROXIMATE","India",28.061899,95.3259358,"APPROXIMATE","Pasighat 791102","India_blood_2015"
"45","KU216372",1027932043,"Dengue_virus_1_isolate_AP_12241_2015_polyprotein_gene_partial_cds","DENV_1",NA,"C_M",393,"India","Pasighat",2015,NA,20.593684,78.96288,"APPROXIMATE","India",28.061899,95.3259358,"APPROXIMATE","Pasighat 791102","India_blood_2015"
"46","KU216371",1027932041,"Dengue_virus_1_isolate_AP_12240_2015_polyprotein_gene_partial_cds","DENV_1",NA,"C_M",393,"India","Pasighat",2015,NA,20.593684,78.96288,"APPROXIMATE","India",28.061899,95.3259358,"APPROXIMATE","Pasighat 791102","India_blood_2015"
"47","KU216370",1027932039,"Dengue_virus_1_isolate_AP_12237_2015_polyprotein_gene_partial_cds","DENV_1",NA,"C_M",390,"India","Pasighat",2015,NA,20.593684,78.96288,"APPROXIMATE","India",28.061899,95.3259358,"APPROXIMATE","Pasighat 791102","India_blood_2015"
"48","KU216369",1027932037,"Dengue_virus_1_isolate_AP_12232_2015_polyprotein_gene_partial_cds","DENV_1",NA,"C_M",392,"India","Pasighat",2015,NA,20.593684,78.96288,"APPROXIMATE","India",28.061899,95.3259358,"APPROXIMATE","Pasighat 791102","India_blood_2015"
"49","KU216368",1027932035,"Dengue_virus_1_isolate_AP_12227_2015_polyprotein_gene_partial_cds","DENV_1",NA,"C_M",391,"India","Pasighat",2015,NA,20.593684,78.96288,"APPROXIMATE","India",28.061899,95.3259358,"APPROXIMATE","Pasighat 791102","India_blood_2015"
"50","KU216367",1027932033,"Dengue_virus_1_isolate_AP_12226_2015_polyprotein_gene_partial_cds","DENV_1",NA,"C_M",393,"India","Pasighat",2015,NA,20.593684,78.96288,"APPROXIMATE","India",28.061899,95.3259358,"APPROXIMATE","Pasighat 791102","India_blood_2015"
"51","KU216366",1027932031,"Dengue_virus_1_isolate_AP_12225_2015_polyprotein_gene_partial_cds","DENV_1",NA,"C_M",391,"India","Pasighat",2015,NA,20.593684,78.96288,"APPROXIMATE","India",28.061899,95.3259358,"APPROXIMATE","Pasighat 791102","India_blood_2015"
"52","KU295558",1027909418,"Dengue_virus_4_isolate_Den4AIIMS15_1248_polyprotein_gene_partial_cds","DENV_4",NA,"E_NS1",456,"India","Delhi",2015,"Aug",20.593684,78.96288,"APPROXIMATE","India",28.7040592,77.1024902,"APPROXIMATE","Delhi, India","India_21_Aug_2015"
"53","KU295557",1027909416,"Dengue_virus_4_isolate_Den4AIIMS13_1567_polyprotein_gene_partial_cds","DENV_4",NA,"E_NS1",552,"India","Delhi",2013,"Sep",20.593684,78.96288,"APPROXIMATE","India",28.7040592,77.1024902,"APPROXIMATE","Delhi, India","India_18_Sep_2013"
"54","KU285150",1027909414,"Dengue_virus_2_isolate_Den2AIIMS15_1680_polyprotein_gene_partial_cds","DENV_2","Cosmopolitan","E_NS1",312,"India","Delhi",2015,"Sep",20.593684,78.96288,"APPROXIMATE","India",28.7040592,77.1024902,"APPROXIMATE","Delhi, India","Cosmopolitan_India_02_Sep_2015"
"55","KU285149",1027909412,"Dengue_virus_2_isolate_Den2AIIMS15_1343_polyprotein_gene_partial_cds","DENV_2","Cosmopolitan","E_NS1",312,"India","Delhi",2015,"Aug",20.593684,78.96288,"APPROXIMATE","India",28.7040592,77.1024902,"APPROXIMATE","Delhi, India","Cosmopolitan_India_26_Aug_2015"
"56","KU285148",1027909410,"Dengue_virus_2_isolate_Den2AIIMS15_1253_polyprotein_gene_partial_cds","DENV_2","Cosmopolitan","E_NS1",288,"India","Delhi",2015,"Aug",20.593684,78.96288,"APPROXIMATE","India",28.7040592,77.1024902,"APPROXIMATE","Delhi, India","Cosmopolitan_India_21_Aug_2015"
"57","KU285147",1027909408,"Dengue_virus_2_isolate_Den2AIIMS14_1852_polyprotein_gene_partial_cds","DENV_2","Cosmopolitan","E_NS1",309,"India","Delhi",2014,"Nov",20.593684,78.96288,"APPROXIMATE","India",28.7040592,77.1024902,"APPROXIMATE","Delhi, India","Cosmopolitan_India_07_Nov_2014"
"58","KU285146",1027909406,"Dengue_virus_2_isolate_DEN2AIIMS14_1636_polyprotein_gene_partial_cds","DENV_2","Cosmopolitan","E_NS1",288,"India","Delhi",2014,"Oct",20.593684,78.96288,"APPROXIMATE","India",28.7040592,77.1024902,"APPROXIMATE","Delhi, India","Cosmopolitan_India_21_Oct_2014"
"59","KU285145",1027909404,"Dengue_virus_2_isolate_Den2AIIMS14_1583_polyprotein_gene_partial_cds","DENV_2","Cosmopolitan","E_NS1",312,"India","Delhi",2014,"Oct",20.593684,78.96288,"APPROXIMATE","India",28.7040592,77.1024902,"APPROXIMATE","Delhi, India","Cosmopolitan_India_12_Oct_2014"
"60","KU253283",1026739610,"Dengue_virus_4_isolate_GO207_2013_BR_envelope_protein_gene_partial_cds","DENV_4","II","E",363,"Brazil","Goias",2013,NA,-14.235004,-51.92528,"APPROXIMATE","Brazil",-15.8270369,-49.8362237,"APPROXIMATE","State of Goiás, Brazil","II_Brazil_Goias_Goiania_municipality_serum_2013"
"61","KU253282",1026739608,"Dengue_virus_4_isolate_GO171_2013_BR_envelope_protein_gene_partial_cds","DENV_4","II","E",363,"Brazil","Goias",2013,NA,-14.235004,-51.92528,"APPROXIMATE","Brazil",-15.8270369,-49.8362237,"APPROXIMATE","State of Goiás, Brazil","II_Brazil_Goias_Goiania_municipality_serum_2013"
"62","KU253281",1026739606,"Dengue_virus_4_isolate_GO109_2013_BR_envelope_protein_gene_partial_cds","DENV_4","II","E",363,"Brazil","Goias",2013,NA,-14.235004,-51.92528,"APPROXIMATE","Brazil",-15.8270369,-49.8362237,"APPROXIMATE","State of Goiás, Brazil","II_Brazil_Goias_Goiania_municipality_serum_2013"
"63","KU253280",1026739604,"Dengue_virus_4_isolate_GO047_2013_BR_envelope_protein_gene_partial_cds","DENV_4","II","E",363,"Brazil","Goias",2013,NA,-14.235004,-51.92528,"APPROXIMATE","Brazil",-15.8270369,-49.8362237,"APPROXIMATE","State of Goiás, Brazil","II_Brazil_Goias_Goiania_municipality_serum_2013"
"64","KU253279",1026739602,"Dengue_virus_4_isolate_GO043_2013_BR_envelope_protein_gene_partial_cds","DENV_4","II","E",363,"Brazil","Goias",2013,NA,-14.235004,-51.92528,"APPROXIMATE","Brazil",-15.8270369,-49.8362237,"APPROXIMATE","State of Goiás, Brazil","II_Brazil_Goias_Goiania_municipality_serum_2013"
"65","KX061431",1026298556,"Dengue_virus_2_isolate_D2_ILBS2015_13_polyprotein_gene_partial_cds","DENV_2",NA,"M_E_NS1",1839,"India","New Delhi",2015,"Aug",20.593684,78.96288,"APPROXIMATE","India",28.6139391,77.2090212,"APPROXIMATE","New Delhi, Delhi, India","India_serum_26_Aug_2015_Manish_Choudhary"
"66","KX061430",1026298554,"Dengue_virus_2_isolate_D2_ILBS2015_12_polyprotein_gene_partial_cds","DENV_2",NA,"M_E_NS1",1839,"India","New Delhi",2015,"Aug",20.593684,78.96288,"APPROXIMATE","India",28.6139391,77.2090212,"APPROXIMATE","New Delhi, Delhi, India","India_serum_26_Aug_2015_Manish_Choudhary"
"67","KX061429",1026298552,"Dengue_virus_2_isolate_D2_ILBS2015_11_polyprotein_gene_partial_cds","DENV_2",NA,"M_E_NS1",1839,"India","New Delhi",2015,"Aug",20.593684,78.96288,"APPROXIMATE","India",28.6139391,77.2090212,"APPROXIMATE","New Delhi, Delhi, India","India_serum_26_Aug_2015_Manish_Choudhary"
"68","KX061428",1026298550,"Dengue_virus_2_isolate_D2_ILBS2015_10_polyprotein_gene_partial_cds","DENV_2",NA,"M_E_NS1",1839,"India","New Delhi",2015,"Aug",20.593684,78.96288,"APPROXIMATE","India",28.6139391,77.2090212,"APPROXIMATE","New Delhi, Delhi, India","India_serum_26_Aug_2015_Manish_Choudhary"
"69","KX061427",1026298548,"Dengue_virus_2_isolate_D2_ILBS2015_09_polyprotein_gene_partial_cds","DENV_2",NA,"M_E_NS1",1839,"India","New Delhi",2015,"Aug",20.593684,78.96288,"APPROXIMATE","India",28.6139391,77.2090212,"APPROXIMATE","New Delhi, Delhi, India","India_serum_26_Aug_2015_Manish_Choudhary"
"70","KX061426",1026298546,"Dengue_virus_2_isolate_D2_ILBS2015_08_polyprotein_gene_partial_cds","DENV_2",NA,"M_E_NS1",1839,"India","New Delhi",2015,"Aug",20.593684,78.96288,"APPROXIMATE","India",28.6139391,77.2090212,"APPROXIMATE","New Delhi, Delhi, India","India_serum_26_Aug_2015_Manish_Choudhary"
"71","KX061425",1026298544,"Dengue_virus_2_isolate_D2_ILBS2015_07_polyprotein_gene_partial_cds","DENV_2",NA,"M_E_NS1",1839,"India","New Delhi",2015,"Aug",20.593684,78.96288,"APPROXIMATE","India",28.6139391,77.2090212,"APPROXIMATE","New Delhi, Delhi, India","India_serum_26_Aug_2015_Manish_Choudhary"
"72","KX061424",1026298542,"Dengue_virus_2_isolate_D2_ILBS2015_06_polyprotein_gene_partial_cds","DENV_2",NA,"M_E_NS1",1839,"India","New Delhi",2015,"Aug",20.593684,78.96288,"APPROXIMATE","India",28.6139391,77.2090212,"APPROXIMATE","New Delhi, Delhi, India","India_serum_26_Aug_2015_Manish_Choudhary"
"73","KX061423",1026298540,"Dengue_virus_2_isolate_D2_ILBS2015_05_polyprotein_gene_partial_cds","DENV_2",NA,"M_E_NS1",1839,"India","New Delhi",2015,"Aug",20.593684,78.96288,"APPROXIMATE","India",28.6139391,77.2090212,"APPROXIMATE","New Delhi, Delhi, India","India_serum_26_Aug_2015_Manish_Choudhary"
"74","KX061422",1026298538,"Dengue_virus_2_isolate_D2_ILBS2015_04_polyprotein_gene_partial_cds","DENV_2",NA,"M_E_NS1",1839,"India","New Delhi",2015,"Aug",20.593684,78.96288,"APPROXIMATE","India",28.6139391,77.2090212,"APPROXIMATE","New Delhi, Delhi, India","India_serum_26_Aug_2015_Manish_Choudhary"
"75","KX061421",1026298536,"Dengue_virus_2_isolate_D2_ILBS2015_03_polyprotein_gene_partial_cds","DENV_2",NA,"M_E_NS1",1839,"India","New Delhi",2015,"Aug",20.593684,78.96288,"APPROXIMATE","India",28.6139391,77.2090212,"APPROXIMATE","New Delhi, Delhi, India","India_serum_26_Aug_2015_Manish_Choudhary"
"76","KX061420",1026298534,"Dengue_virus_2_isolate_D2_ILBS2015_02_polyprotein_gene_partial_cds","DENV_2",NA,"M_E_NS1",1839,"India","New Delhi",2015,"Aug",20.593684,78.96288,"APPROXIMATE","India",28.6139391,77.2090212,"APPROXIMATE","New Delhi, Delhi, India","India_serum_26_Aug_2015_Manish_Choudhary"
"77","KX061419",1026298532,"Dengue_virus_2_isolate_D2_ILBS2015_01_polyprotein_gene_partial_cds","DENV_2",NA,"M_E_NS1",1839,"India","New Delhi",2015,"Aug",20.593684,78.96288,"APPROXIMATE","India",28.6139391,77.2090212,"APPROXIMATE","New Delhi, Delhi, India","India_serum_26_Aug_2015_Manish_Choudhary"
"78","KT288902",929045658,"Dengue_virus_2_isolate_D2_K2_RIJ_059_Dar_es_Salaam_2014_envelope_glycoprotein__E__gene_partial_cds","DENV_2","Cosmopolitan","E",1685,"Tanzania",NA,2014,"Jun",-6.369028,34.888822,"APPROXIMATE","Tanzania",NA,NA,NA,NA,"Cosmopolitan_Tanzania_Serum_Jun_2014"
"79","KT288901",929045656,"Dengue_virus_2_isolate_T1_MMB_012_Dar_es_Salaam_2014_polyprotein_gene_partial_cds","DENV_2","Cosmopolitan","E_NS1",729,"Tanzania","Dar es Salaam",2014,"Jun",-6.369028,34.888822,"APPROXIMATE","Tanzania",-6.792354,39.2083284,"APPROXIMATE","Dar es Salaam, Tanzania","Cosmopolitan_Tanzania_serum_Jun_2014"
"80","KT288900",929045654,"Dengue_virus_2_isolate_IL2_BSM_016_Dar_es_Salaam_2014_polyprotein_gene_partial_cds","DENV_2","Cosmopolitan","E_NS1",729,"Tanzania","Dar es Salaam",2014,"Jun",-6.369028,34.888822,"APPROXIMATE","Tanzania",-6.792354,39.2083284,"APPROXIMATE","Dar es Salaam, Tanzania","Cosmopolitan_Tanzania_serum_Jun_2014"
"81","KT288899",929045652,"Dengue_virus_2_isolate_IL2_FJK_030_Dar_es_Salaam_2014_polyprotein_gene_partial_cds","DENV_2","Cosmopolitan","E_NS1",729,"Tanzania","Dar es Salaam",2014,"Jun",-6.369028,34.888822,"APPROXIMATE","Tanzania",-6.792354,39.2083284,"APPROXIMATE","Dar es Salaam, Tanzania","Cosmopolitan_Tanzania_serum_Jun_2014"
"82","KT288898",929045650,"Dengue_virus_2_isolate_IL2_RPG_045_Dar_es_Salaam_2014_polyprotein_gene_partial_cds","DENV_2","Cosmopolitan","E_NS1",729,"Tanzania","Dar es Salaam",2014,"Jun",-6.369028,34.888822,"APPROXIMATE","Tanzania",-6.792354,39.2083284,"APPROXIMATE","Dar es Salaam, Tanzania","Cosmopolitan_Tanzania_serum_Jun_2014"
"83","KT288897",929045648,"Dengue_virus_2_isolate_IL1_FN_033_Dar_es_Salaam_2014_polyprotein_gene_partial_cds","DENV_2","Cosmopolitan","E_NS1",729,"Tanzania","Dar es Salaam",2014,"Jun",-6.369028,34.888822,"APPROXIMATE","Tanzania",-6.792354,39.2083284,"APPROXIMATE","Dar es Salaam, Tanzania","Cosmopolitan_Tanzania_serum_Jun_2014"
"84","KT288896",929045646,"Dengue_virus_2_isolate_T2_AAH_002_Dar_es_Salaam_2014_polyprotein_gene_partial_cds","DENV_2","Cosmopolitan","E_NS1",729,"Tanzania","Dar es Salaam",2014,"Jun",-6.369028,34.888822,"APPROXIMATE","Tanzania",-6.792354,39.2083284,"APPROXIMATE","Dar es Salaam, Tanzania","Cosmopolitan_Tanzania_serum_Jun_2014"
"85","KT288895",929045644,"Dengue_virus_2_isolate_IL2_SRH_001_Dar_es_Salaam_2014_polyprotein_gene_partial_cds","DENV_2","Cosmopolitan","E_NS1",729,"Tanzania","Dar es Salaam",2014,"Jun",-6.369028,34.888822,"APPROXIMATE","Tanzania",-6.792354,39.2083284,"APPROXIMATE","Dar es Salaam, Tanzania","Cosmopolitan_Tanzania_serum_Jun_2014"
"86","KT726361",992324583,"Dengue_virus_3_isolate_Cuba_20_2002_complete_genome","DENV_3","III","Complete_Genome",10663,"Cuba",NA,2002,NA,21.521757,-77.781167,"APPROXIMATE","Cuba",NA,NA,NA,NA,"III_Cuba_serum_2002"
"87","KT726360",992324581,"Dengue_virus_3_isolate_Cuba_73_2001_complete_genome","DENV_3","III","Complete_Genome",10663,"Cuba",NA,2001,NA,21.521757,-77.781167,"APPROXIMATE","Cuba",NA,NA,NA,NA,"III_Cuba_serum_2001"
"88","KT726359",992324579,"Dengue_virus_3_isolate_Cuba_558_2001_complete_genome","DENV_3","III","Complete_Genome",10663,"Cuba",NA,2001,NA,21.521757,-77.781167,"APPROXIMATE","Cuba",NA,NA,NA,NA,"III_Cuba_serum_2001"
